Date,TSM
2019-06-07,33.52134323120117
2019-06-10,34.21214294433594
2019-06-11,34.50574493408203
2019-06-12,34.0739860534668
2019-06-13,34.06535339355469
2019-06-14,32.675106048583984
2019-06-17,32.5196647644043
2019-06-18,33.85811233520508
2019-06-19,34.02217483520508
2019-06-20,34.98066711425781
2019-06-21,34.98929977416992
2019-06-24,35.6455078125
2019-06-25,34.70043182373047
2019-06-26,34.84309387207031
2019-06-27,35.297794342041016
2019-06-28,34.9233283996582
2019-07-01,36.89372634887695
2019-07-02,36.37661361694336
2019-07-03,35.95756530761719
2019-07-05,35.60092544555664
2019-07-08,35.05706787109375
2019-07-09,35.369117736816406
2019-07-10,36.296363830566406
2019-07-11,36.46576690673828
2019-07-12,36.75998306274414
2019-07-15,37.286033630371094
2019-07-16,37.24144744873047
2019-07-17,37.11662292480469
2019-07-18,38.507503509521484
2019-07-19,39.07810974121094
2019-07-22,39.764625549316406
2019-07-23,39.604148864746094
2019-07-24,39.711124420166016
2019-07-25,38.8908805847168
2019-07-26,38.74821853637695
2019-07-29,39.17618179321289
2019-07-30,38.43617248535156
2019-07-31,38.00820541381836
2019-08-01,37.330596923828125
2019-08-02,37.134456634521484
2019-08-05,35.54744338989258
2019-08-06,36.78673553466797
2019-08-07,36.78673553466797
2019-08-08,37.35734939575195
2019-08-09,36.920475006103516
2019-08-12,36.51927185058594
2019-08-13,37.30384826660156
2019-08-14,36.04671859741211
2019-08-15,36.43009948730469
2019-08-16,37.03638458251953
2019-08-19,37.250362396240234
2019-08-20,37.39301681518555
2019-08-21,37.9636344909668
2019-08-22,37.56241989135742
2019-08-23,36.510337829589844
2019-08-26,36.85806655883789
2019-08-27,36.86697769165039
2019-08-28,37.134456634521484
2019-08-29,37.69615173339844
2019-08-30,38.00820541381836
2019-09-03,37.196876525878906
2019-09-04,38.47183609008789
2019-09-05,39.443660736083984
2019-09-06,38.971126556396484
2019-09-09,39.09593963623047
2019-09-10,39.31884002685547
2019-09-11,39.42582321166992
2019-09-12,39.29209518432617
2019-09-13,39.88945007324219
2019-09-16,39.764625549316406
2019-09-17,40.23716354370117
2019-09-18,40.15692138671875
2019-09-19,40.32035827636719
2019-09-20,39.39540481567383
2019-09-23,39.57502365112305
2019-09-24,39.61991882324219
2019-09-25,40.41913986206055
2019-09-26,41.721248626708984
2019-09-27,40.868141174316406
2019-09-30,41.73920440673828
2019-10-01,42.376792907714844
2019-10-02,41.69430160522461
2019-10-03,42.32290267944336
2019-10-04,42.58333206176758
2019-10-07,43.059261322021484
2019-10-08,42.97845458984375
2019-10-09,43.71480941772461
2019-10-10,43.93931198120117
2019-10-11,44.379329681396484
2019-10-14,44.819358825683594
2019-10-15,45.250404357910156
2019-10-16,45.01692199707031
2019-10-17,44.67567825317383
2019-10-18,44.25361251831055
2019-10-21,44.90018081665039
2019-10-22,45.47490310668945
2019-10-23,45.05283737182617
2019-10-24,45.7532844543457
2019-10-25,45.91492462158203
2019-10-28,46.07657241821289
2019-10-29,46.220245361328125
2019-10-30,46.6153678894043
2019-10-31,46.363929748535156
2019-11-01,46.785987854003906
2019-11-04,48.034210205078125
2019-11-05,48.08809280395508
2019-11-06,48.16891098022461
2019-11-07,48.19585037231445
2019-11-08,47.441532135009766
2019-11-11,47.234989166259766
2019-11-12,46.83088684082031
2019-11-13,47.486427307128906
2019-11-14,47.12723159790039
2019-11-15,47.854610443115234
2019-11-18,47.971351623535156
2019-11-19,48.27667236328125
2019-11-20,48.043182373046875
2019-11-21,47.57622528076172
2019-11-22,47.40560531616211
2019-11-25,48.27667236328125
2019-11-26,48.15993118286133
2019-11-27,48.393409729003906
2019-11-29,47.675010681152344
2019-12-02,47.57622528076172
2019-12-03,47.39663314819336
2019-12-04,47.75583267211914
2019-12-05,48.851402282714844
2019-12-06,49.3363151550293
2019-12-09,48.905277252197266
2019-12-10,48.95915985107422
2019-12-11,50.198394775390625
2019-12-12,52.63198471069336
2019-12-13,52.3087043762207
2019-12-16,52.569129943847656
2019-12-17,53.18873977661133
2019-12-18,53.0720100402832
2019-12-19,52.41188430786133
2019-12-20,52.38475036621094
2019-12-23,52.64699935913086
2019-12-24,52.231021881103516
2019-12-26,52.67413330078125
2019-12-27,52.86402130126953
2019-12-30,52.31241989135742
2019-12-31,52.538482666015625
2020-01-02,54.29278564453125
2020-01-03,52.502323150634766
2020-01-06,51.896453857421875
2020-01-07,52.73743438720703
2020-01-08,53.12626647949219
2020-01-09,53.56031799316406
2020-01-10,53.22574234008789
2020-01-13,54.310874938964844
2020-01-14,54.54597473144531
2020-01-15,52.80072784423828
2020-01-16,53.12626647949219
2020-01-17,52.9725456237793
2020-01-21,52.66508483886719
2020-01-22,52.764564514160156
2020-01-23,51.97782897949219
2020-01-24,52.20390319824219
2020-01-27,49.9703369140625
2020-01-28,51.62516403198242
2020-01-29,51.71559143066406
2020-01-30,50.45865249633789
2020-01-31,48.77669906616211
2020-02-03,49.527244567871094
2020-02-04,52.013999938964844
2020-02-05,52.37571334838867
2020-02-06,52.466148376464844
2020-02-07,50.82036209106445
2020-02-10,51.56187057495117
2020-02-11,53.044883728027344
2020-02-12,53.92203140258789
2020-02-13,53.650753021240234
2020-02-14,52.619876861572266
2020-02-18,50.80228042602539
2020-02-19,52.12251663208008
2020-02-20,51.07355499267578
2020-02-21,50.26875305175781
2020-02-24,48.9394645690918
2020-02-25,48.7043571472168
2020-02-26,49.76235580444336
2020-02-27,48.18891525268555
2020-02-28,48.68626022338867
2020-03-02,50.62141799926758
2020-03-03,49.6267204284668
