Date,CPER
2019-05-14,17.010000228881836
2019-05-15,17.15999984741211
2019-05-16,17.170000076293945
2019-05-17,17.079999923706055
2019-05-20,17.059999465942383
2019-05-21,17.0
2019-05-22,16.729999542236328
2019-05-23,16.790000915527344
2019-05-24,16.90999984741211
2019-05-28,16.84000015258789
2019-05-29,16.670000076293945
2019-05-30,16.559999465942383
2019-05-31,16.469999313354492
2019-06-03,16.6200008392334
2019-06-04,16.670000076293945
2019-06-05,16.40999984741211
2019-06-06,16.530000686645508
2019-06-07,16.3700008392334
2019-06-10,16.649999618530273
2019-06-11,16.719999313354492
2019-06-12,16.540000915527344
2019-06-13,16.610000610351562
2019-06-14,16.43000030517578
2019-06-17,16.56999969482422
2019-06-18,16.93000030517578
2019-06-19,16.81999969482422
2019-06-20,16.989999771118164
2019-06-21,16.829999923706055
2019-06-24,16.950000762939453
2019-06-25,17.09000015258789
2019-06-26,16.969999313354492
2019-06-27,17.010000228881836
2019-06-28,16.959999084472656
2019-07-01,16.770000457763672
2019-07-02,16.65999984741211
2019-07-03,16.75
2019-07-05,16.649999618530273
2019-07-08,16.639999389648438
2019-07-09,16.440000534057617
2019-07-10,16.81999969482422
2019-07-11,16.799999237060547
2019-07-12,16.860000610351562
2019-07-15,16.959999084472656
2019-07-16,16.889999389648438
2019-07-17,16.959999084472656
2019-07-18,17.020000457763672
2019-07-19,17.170000076293945
2019-07-22,17.030000686645508
2019-07-23,16.90999984741211
2019-07-24,16.989999771118164
2019-07-25,16.959999084472656
2019-07-26,16.850000381469727
2019-07-29,17.030000686645508
2019-07-30,16.780000686645508
2019-07-31,16.700000762939453
2019-08-01,16.459999084472656
2019-08-02,16.1200008392334
2019-08-05,16.010000228881836
2019-08-06,16.079999923706055
2019-08-07,16.219999313354492
2019-08-08,16.290000915527344
2019-08-09,16.260000228881836
2019-08-12,16.18000030517578
2019-08-13,16.489999771118164
2019-08-14,16.280000686645508
2019-08-15,16.270000457763672
2019-08-16,16.229999542236328
2019-08-19,16.290000915527344
2019-08-20,16.139999389648438
2019-08-21,16.170000076293945
2019-08-22,16.059999465942383
2019-08-23,15.880000114440918
2019-08-26,15.90999984741211
2019-08-27,16.0
2019-08-28,16.06999969482422
2019-08-29,16.110000610351562
2019-08-30,16.0
2019-09-03,15.850000381469727
2019-09-04,16.229999542236328
2019-09-05,16.5
2019-09-06,16.43000030517578
2019-09-09,16.459999084472656
2019-09-10,16.40999984741211
2019-09-11,16.3700008392334
2019-09-12,16.530000686645508
2019-09-13,16.920000076293945
2019-09-16,16.559999465942383
2019-09-17,16.450000762939453
2019-09-18,16.360000610351562
2019-09-19,16.34000015258789
2019-09-20,16.25
2019-09-23,16.3799991607666
2019-09-24,16.309999465942383
2019-09-25,16.360000610351562
2019-09-26,16.15999984741211
2019-09-27,16.290000915527344
2019-09-30,16.1299991607666
2019-10-01,16.09000015258789
2019-10-02,16.100000381469727
2019-10-03,16.010000228881836
2019-10-04,16.06999969482422
2019-10-07,16.1299991607666
2019-10-08,16.09000015258789
2019-10-09,16.079999923706055
2019-10-10,16.34000015258789
2019-10-11,16.469999313354492
2019-10-14,16.510000228881836
2019-10-15,16.3700008392334
2019-10-16,16.209999084472656
2019-10-17,16.309999465942383
2019-10-18,16.530000686645508
2019-10-21,16.579999923706055
2019-10-22,16.530000686645508
2019-10-23,16.719999313354492
2019-10-24,16.719999313354492
2019-10-25,16.829999923706055
2019-10-28,16.850000381469727
2019-10-29,16.8700008392334
2019-10-30,16.81999969482422
2019-10-31,16.540000915527344
2019-11-01,16.670000076293945
2019-11-04,16.700000762939453
2019-11-05,16.940000534057617
2019-11-06,16.739999771118164
2019-11-07,17.010000228881836
2019-11-08,16.889999389648438
2019-11-11,16.700000762939453
2019-11-12,16.649999618530273
2019-11-13,16.579999923706055
2019-11-14,16.5
2019-11-15,16.610000610351562
2019-11-18,16.479999542236328
2019-11-19,16.700000762939453
2019-11-20,16.6299991607666
2019-11-21,16.520000457763672
2019-11-22,16.610000610351562
2019-11-25,16.670000076293945
2019-11-26,16.8799991607666
2019-11-27,16.90999984741211
2019-11-29,16.649999618530273
2019-12-02,16.6200008392334
2019-12-03,16.450000762939453
2019-12-04,16.6299991607666
2019-12-05,16.68000030517578
2019-12-06,17.229999542236328
2019-12-09,17.260000228881836
2019-12-10,17.34000015258789
2019-12-11,17.5
2019-12-12,17.6299991607666
2019-12-13,17.450000762939453
2019-12-16,17.600000381469727
2019-12-17,17.579999923706055
2019-12-18,17.600000381469727
2019-12-19,17.68000030517578
2019-12-20,17.549999237060547
2019-12-23,17.579999923706055
2019-12-24,17.700000762939453
2019-12-26,17.850000381469727
2019-12-27,17.700000762939453
2019-12-30,17.68000030517578
2019-12-31,17.540000915527344
2020-01-02,17.700000762939453
2020-01-03,17.450000762939453
2020-01-06,17.469999313354492
2020-01-07,17.520000457763672
2020-01-08,17.59000015258789
2020-01-09,17.540000915527344
2020-01-10,17.6200008392334
2020-01-13,17.920000076293945
2020-01-14,17.979999542236328
2020-01-15,17.950000762939453
2020-01-16,17.860000610351562
2020-01-17,17.8700008392334
2020-01-21,17.5
2020-01-22,17.399999618530273
2020-01-23,17.139999389648438
2020-01-24,16.84000015258789
2020-01-27,16.299999237060547
2020-01-28,16.200000762939453
2020-01-29,16.110000610351562
2020-01-30,16.0
2020-01-31,15.779999732971191
2020-02-03,15.75
2020-02-04,15.989999771118164
2020-02-05,16.25
2020-02-06,16.299999237060547
2020-02-07,16.020000457763672
2020-02-10,16.049999237060547
2020-02-11,16.229999542236328
